               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.034175,            0.021254,           0.0032799,             0.67572,             0.63686,             0.69207,             0.32994,            0.044944,            0.024221,           0.0071436,            0.006265,            0.006265,            0.006265
                  85,            0.033563,            0.021807,           0.0035377,              0.6867,             0.51028,             0.60639,             0.27746,            0.045651,            0.026252,           0.0078796,             0.00622,             0.00622,             0.00622
                  86,            0.034195,            0.020974,           0.0035253,             0.79866,             0.54367,             0.67398,             0.32719,            0.044589,            0.024159,            0.007692,            0.006175,            0.006175,            0.006175
                  87,            0.033032,            0.024082,            0.003314,             0.72587,             0.64176,             0.70438,             0.33864,            0.043737,            0.021912,           0.0065021,             0.00613,             0.00613,             0.00613
                  88,            0.034146,            0.022932,           0.0039243,             0.80454,               0.582,               0.709,             0.34302,            0.043884,            0.021162,           0.0068259,            0.006085,            0.006085,            0.006085
                  89,            0.031136,            0.021223,           0.0033541,             0.69718,             0.66806,              0.6901,             0.34669,             0.04394,            0.020482,           0.0065408,             0.00604,             0.00604,             0.00604
                  90,            0.033215,             0.02124,           0.0034774,             0.70357,             0.65377,             0.67641,             0.33176,            0.043361,            0.021524,           0.0067453,            0.005995,            0.005995,            0.005995
                  91,             0.03179,             0.02166,           0.0030691,             0.71509,             0.64226,             0.67192,             0.32566,            0.043797,            0.021903,           0.0064145,             0.00595,             0.00595,             0.00595
                  92,            0.032359,             0.02172,           0.0037568,             0.74966,              0.6024,             0.67563,             0.32995,             0.04314,            0.021966,           0.0065167,            0.005905,            0.005905,            0.005905
                  93,            0.033188,            0.024065,           0.0036803,             0.73762,             0.66049,             0.71448,              0.3602,            0.042617,            0.021124,            0.006048,             0.00586,             0.00586,             0.00586
                  94,            0.032705,            0.021274,           0.0034424,             0.70508,             0.59736,             0.67618,             0.31906,            0.043562,            0.021799,           0.0080264,            0.005815,            0.005815,            0.005815
                  95,            0.032727,            0.022443,           0.0035145,             0.73228,             0.63997,             0.70067,             0.34982,            0.043966,            0.021462,           0.0071375,             0.00577,             0.00577,             0.00577
                  96,            0.031106,            0.018475,           0.0029073,             0.69621,             0.65824,             0.69261,             0.34473,            0.042412,             0.02287,           0.0068616,            0.005725,            0.005725,            0.005725
                  97,            0.032007,            0.020191,           0.0030125,             0.74488,             0.66723,             0.72061,             0.34819,            0.042916,            0.023189,           0.0067361,             0.00568,             0.00568,             0.00568
                  98,            0.031142,            0.023264,           0.0028723,             0.86766,             0.61678,             0.75959,             0.34534,            0.042339,            0.020975,           0.0064056,            0.005635,            0.005635,            0.005635
                  99,            0.031981,            0.020618,           0.0032816,             0.70893,             0.70175,             0.70641,              0.3258,             0.04303,            0.022538,           0.0065192,             0.00559,             0.00559,             0.00559
                 100,            0.031593,            0.021408,           0.0031169,             0.78464,              0.6422,             0.70513,             0.33971,            0.042582,            0.021881,           0.0067441,            0.005545,            0.005545,            0.005545
                 101,            0.030253,             0.01917,           0.0030324,             0.75844,             0.63216,             0.72279,             0.33959,            0.042087,            0.021591,           0.0063992,              0.0055,              0.0055,              0.0055
                 102,            0.029926,            0.019435,           0.0026082,             0.72235,              0.7343,             0.75117,             0.36177,             0.04245,            0.021124,           0.0060263,            0.005455,            0.005455,            0.005455
                 103,            0.028554,            0.020169,           0.0030013,             0.74768,             0.67543,             0.75102,             0.36882,            0.042636,            0.021588,           0.0065979,             0.00541,             0.00541,             0.00541
                 104,            0.031258,            0.021326,           0.0029309,             0.83081,             0.62949,             0.75983,             0.36883,             0.04269,            0.022457,           0.0063641,            0.005365,            0.005365,            0.005365
                 105,             0.02957,            0.018648,           0.0024366,             0.80898,             0.63529,             0.75187,             0.35944,            0.043014,            0.023335,           0.0074414,             0.00532,             0.00532,             0.00532
                 106,            0.031737,            0.020603,           0.0030746,             0.79599,             0.68091,             0.74962,             0.35815,            0.043281,            0.023479,           0.0064529,            0.005275,            0.005275,            0.005275
                 107,            0.030635,            0.020614,           0.0028011,             0.79728,               0.657,             0.72224,             0.35133,            0.043933,            0.022989,           0.0065286,             0.00523,             0.00523,             0.00523
                 108,             0.03106,            0.018823,           0.0030483,             0.72352,             0.71192,              0.7216,             0.34507,            0.044589,             0.02285,           0.0066678,            0.005185,            0.005185,            0.005185
                 109,            0.030935,            0.019784,           0.0027149,             0.71911,             0.69488,             0.72065,             0.35115,             0.04372,            0.023183,           0.0065167,             0.00514,             0.00514,             0.00514
                 110,            0.031217,            0.020894,           0.0031653,             0.74895,             0.66086,             0.72658,             0.34161,            0.043925,            0.022892,            0.007099,            0.005095,            0.005095,            0.005095
                 111,            0.029384,            0.018132,           0.0025294,             0.81919,             0.57658,             0.69733,             0.33517,            0.043046,            0.022849,           0.0070966,             0.00505,             0.00505,             0.00505
                 112,            0.030657,            0.018854,           0.0033852,             0.80912,             0.58653,             0.73655,             0.34422,            0.043592,            0.022681,           0.0073419,            0.005005,            0.005005,            0.005005
                 113,            0.030564,            0.021599,           0.0035772,             0.75709,             0.66942,             0.76299,             0.35681,            0.043178,            0.022054,           0.0083167,             0.00496,             0.00496,             0.00496
                 114,            0.029712,            0.018636,           0.0028711,             0.80578,              0.6316,             0.74699,             0.35964,            0.042653,            0.021953,           0.0091357,            0.004915,            0.004915,            0.004915
                 115,            0.030708,            0.019545,           0.0029897,             0.86265,             0.61047,             0.75233,             0.33954,             0.04323,            0.021637,           0.0070816,             0.00487,             0.00487,             0.00487
                 116,             0.03167,            0.019545,           0.0032774,             0.74059,             0.65732,             0.74195,             0.35028,            0.043775,            0.021899,           0.0066705,            0.004825,            0.004825,            0.004825
                 117,            0.029928,            0.019297,             0.00284,             0.85175,             0.63247,             0.75078,               0.337,            0.043499,            0.022356,            0.006131,             0.00478,             0.00478,             0.00478
                 118,            0.030511,            0.018278,           0.0026594,             0.80495,             0.66929,             0.74672,             0.35204,            0.044193,            0.021806,           0.0057993,            0.004735,            0.004735,            0.004735
                 119,            0.029899,            0.018607,            0.002692,             0.77307,             0.68053,               0.749,             0.35994,             0.04281,            0.021728,           0.0057782,             0.00469,             0.00469,             0.00469
                 120,            0.029709,            0.020386,           0.0030274,             0.77981,              0.6361,             0.73037,             0.35614,            0.042831,            0.022385,           0.0058017,            0.004645,            0.004645,            0.004645
                 121,             0.02953,            0.021816,           0.0029125,              0.8319,             0.61079,             0.73761,             0.36529,             0.04258,             0.02227,           0.0057352,              0.0046,              0.0046,              0.0046
                 122,            0.030932,            0.021296,           0.0033189,             0.72644,             0.66311,             0.72357,             0.33089,            0.042917,            0.022058,           0.0059152,            0.004555,            0.004555,            0.004555
                 123,            0.028854,            0.021012,           0.0026059,             0.69125,             0.69722,             0.71782,             0.34513,            0.042146,            0.022599,           0.0055435,             0.00451,             0.00451,             0.00451
                 124,            0.026992,            0.018852,           0.0025621,             0.70934,             0.69855,             0.74049,             0.34547,            0.042465,            0.021937,           0.0053708,            0.004465,            0.004465,            0.004465
                 125,            0.027629,            0.019547,           0.0024459,             0.77116,              0.6462,              0.7309,              0.3492,            0.042077,             0.02178,            0.005668,             0.00442,             0.00442,             0.00442
                 126,            0.026806,            0.018251,           0.0023589,             0.74143,             0.67638,              0.7438,             0.35044,            0.042698,            0.021832,           0.0055124,            0.004375,            0.004375,            0.004375
                 127,            0.026991,            0.020541,           0.0028869,             0.75513,             0.67305,             0.75422,             0.36329,            0.042142,            0.021787,           0.0055011,             0.00433,             0.00433,             0.00433
                 128,            0.029541,            0.020245,            0.002843,             0.76706,             0.68067,             0.75862,             0.34849,            0.042771,            0.022268,           0.0056226,            0.004285,            0.004285,            0.004285
                 129,            0.028131,            0.018705,           0.0026508,             0.77154,             0.71281,             0.76321,             0.35567,            0.042739,            0.022447,           0.0055978,             0.00424,             0.00424,             0.00424
                 130,            0.029152,            0.018322,            0.002991,             0.72397,             0.70138,             0.73287,             0.35225,            0.042903,            0.023019,           0.0055136,            0.004195,            0.004195,            0.004195
                 131,            0.027569,            0.017656,           0.0023835,             0.81348,             0.66556,             0.76055,             0.34571,            0.043501,            0.023441,           0.0054755,             0.00415,             0.00415,             0.00415
                 132,            0.027886,            0.018132,           0.0026154,             0.78992,             0.67112,             0.73746,             0.34496,            0.043004,            0.023718,           0.0052048,            0.004105,            0.004105,            0.004105
                 133,            0.027617,            0.019309,            0.002347,             0.73547,             0.65468,             0.70374,             0.32851,            0.042771,            0.023931,           0.0054773,             0.00406,             0.00406,             0.00406
                 134,            0.028316,            0.019495,           0.0027655,             0.79539,             0.60969,             0.69991,             0.33131,            0.042952,            0.023376,           0.0056885,            0.004015,            0.004015,            0.004015
                 135,            0.030806,             0.02011,           0.0030954,              0.7002,             0.70501,               0.728,             0.34195,            0.042114,            0.022546,           0.0054721,             0.00397,             0.00397,             0.00397
                 136,            0.027718,            0.018807,           0.0027658,             0.75563,             0.70251,             0.74849,             0.34035,            0.043012,            0.022991,           0.0055347,            0.003925,            0.003925,            0.003925
                 137,            0.028415,            0.018382,           0.0025948,             0.86615,             0.59591,             0.72667,             0.34238,            0.041818,             0.02362,           0.0053009,             0.00388,             0.00388,             0.00388
                 138,            0.027677,            0.018589,           0.0027418,             0.77065,             0.67355,             0.73713,             0.33355,            0.042929,            0.022944,           0.0053448,            0.003835,            0.003835,            0.003835
                 139,            0.027411,            0.019353,           0.0026139,             0.81658,              0.6398,             0.73198,             0.33826,             0.04206,            0.023309,           0.0052631,             0.00379,             0.00379,             0.00379
                 140,            0.028092,            0.017211,           0.0027139,             0.76415,              0.6741,              0.7234,              0.3385,            0.042511,            0.023838,           0.0053146,            0.003745,            0.003745,            0.003745
                 141,            0.027243,            0.017228,           0.0027811,             0.85097,             0.59204,             0.72832,             0.33885,            0.042723,            0.024004,           0.0057922,              0.0037,              0.0037,              0.0037
                 142,            0.026575,            0.017832,           0.0022967,             0.82651,             0.63696,             0.72362,             0.34671,             0.04317,            0.025059,           0.0053992,            0.003655,            0.003655,            0.003655
                 143,            0.027082,            0.017995,           0.0025949,             0.85041,             0.62557,             0.74054,             0.34966,            0.043782,              0.0259,           0.0053876,             0.00361,             0.00361,             0.00361
                 144,            0.025342,            0.017347,           0.0020928,             0.85009,             0.63313,             0.73711,             0.36549,            0.044514,            0.026872,           0.0054428,            0.003565,            0.003565,            0.003565
                 145,            0.028132,            0.019372,           0.0028037,             0.83392,             0.63028,             0.72986,             0.34663,            0.045752,            0.027119,           0.0058734,             0.00352,             0.00352,             0.00352
                 146,            0.025276,             0.01756,           0.0019736,             0.86241,             0.65222,             0.78662,             0.37476,            0.043748,            0.025276,           0.0059622,            0.003475,            0.003475,            0.003475
